title,salary,desc,company_name,company_address,min_salary,max_salary,address_lat,address_lon,categories
Техник-геофизик,от 110 500 руб.,"Установка (размотка) геофизической аппаратуры на профиле работ. Настройка, наладка и ремонт сейсморазведочного оборудования. Установка и подключение аккумуляторных батарей к оборудованию. Требования: Опыт работы. Медицинская справка северная. Условия: Сезонный метод работы в полевой сейсморазведочной…",ООО ЗПГ,Иркутская область,110500.0,,56.6370122,104.719221,другое
Мастер по ремонту крупногабаритной бытовой техники,от 80 000 руб.,"Требуется мастер по ремонту крупногабаритной бытовой техники. Требования: Знание ПК, навыки работы с программами (WINDOWS, MS Office (Word, Excel, Access, Power Point, Outlook), Acrobat Reader) обязательно. Умение читать и ориентироваться по схемам и сервис-мануалам к технике, а так же знание и умение…","Алика-Сервис, ООО","Иркутск,",80000.0,,52.289597,104.280586,другое
Курьер,до 75 000 руб.,В команду партнера сервиса Яндекс.Еда срочно требуются КУРЬЕРЫ! Обязанности и требования: Доставка заказов по приложению; Желательно наличие смартфона на Андроид; Можно без опыта! Условия: ГАРАНТИЯ ДОХОДА. Платим даже если нет заказов! Ежедневные стабильные выплаты на банковскую карту! Можно выбрать…,Яндекс GO / Яндекс Еда - официальный партнер,"Иркутск, ул Желябова, д 1",,75000.0,52.2865889,104.2816218,курьер
Курьер,от 75 000 руб.,"Работа Курьером в Яндекс.Доставка (Оплата каждый день)! Подключаем и работаем по Всей России! Обязанности: Доставка заказов от точки А до Б: это могут быть заказы: из магазинов, кафе и ресторанов, онлайн заказы, и небольшие посылки/грузы ( документы, лекарства, доставка из интернет магазинов, доставка…",ИП Розенфельд Анастасия Викторовна,"Иркутск, ул Ленина, д 8",75000.0,,52.2819597,104.2810322,курьер
Менеджер по работе с клиентами,40 000 — 100 000 руб.,"Требуемый опыт работы: 1–3 года; Полная занятость, полный день; Российская Академия Цифра - первая IT-школа на российском рынке оффлайн образования. Мы являемся главным гарантом успешного входа в индустрию компьютерных технологий! Чем предстоит заниматься: Работать с тёплой клиентской базой (без поиска…",Цифра Иркутск,"Иркутск, ул Горького, д 15",40000.0,100000.0,52.2817365,104.2795392,менеджер
Менеджер (Подработка),15 000 — 30 000 руб.,"В связи с расширением отдела продаж открыт набор на вакансию ""Менеджер по продажам"" B2B; Обязанности: Продажа услуг юридическим лицам: Интернет, видеонаблюдение, телефония, мобильная связь и тп; Работа с исходящими звонками по подготовленной базе на подключение клиентов малого и среднего бизнеса; Проведение…","ПАО ""Ростелеком""","Иркутск, ул Горького, д 25",15000.0,30000.0,52.2817365,104.2795392,менеджер
Менеджер по работе с клиентами,15 000 — 30 000 руб.,"Мы предлагаем тебе присоединиться к нашей дружной команде билайн! Начни легко и быстро зарабатывать деньги, выполняя простые и интересные задачи. Что мы предлагаем: удобный гибкий график с возможностью совмещения; подработку от 4-х часов, вечерняя смена; официальное оформление по договору ГПХ; работу…",Билайн,"Иркутск, ул Степана Разина, д 27",15000.0,30000.0,52.2867611,104.270225,менеджер
Курьер,35 000 — 85 000 руб.,Возможна подработка с ежедневной оплатой; Требования: возможно без опыта- обучаем; хорошее знание города; знание технического устройства автомобиля; пунктуальность; доброжелательность; вежливое отношение к клиенту и коллективу; своевременная доставка пиццы; Условия: сменный график; ночные и дневные…,Папа Джонс,"Иркутск, ул Марата, д 48",35000.0,85000.0,52.2813771,104.280311,курьер
Уборщик магазина (сквер Кирова),от 20 000 руб.,"Уборка торгового зала, подсобных помещений. Требования: Можно без опыта. Условия: Виномаркет ""Виноград"" крупной торговой фирмы. Сквер Кирова, ост. ""Бытовая"". График посменный 3/3 с 8.00 до 21.00. Заработная плата 20 000 руб. Нужен только паспорт.","ООО ""Июль""","Иркутск, ул 5 Армии, д 5",20000.0,,52.2840186,104.2762602,другое
Курьер,до 115 000 руб.,"СберМаркет — крупный онлайн-сервис, который помогает делать покупки, не выходя из дома. Мы входим в крупнейшую в России экосистему Сбера. Обязанности: сборка заказов на территории магазина-партнера; доставка собранных заказов до наших клиентов; Условия: гарантированный доход с первой смены; еженедельные…",СберМаркет,"Иркутск, ул Дзержинского, д 40а",,115000.0,52.2881922,104.3003639,курьер
